danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.713,0.762,1,-7.811,1,0.194,0.193,0.000378,0.111,0.51,124.937,audio_features,0y4VYjDFVYe8JkJbXOuONg,spotify:track:0y4VYjDFVYe8JkJbXOuONg,https://api.spotify.com/v1/tracks/0y4VYjDFVYe8JkJbXOuONg,https://api.spotify.com/v1/audio-analysis/0y4VYjDFVYe8JkJbXOuONg,226333,4
0.831,0.302,0,-13.42,0,0.0774,0.964,0.875,0.134,0.826,88.018,audio_features,0IPLNYj7MRXBdX8kTOX9zS,spotify:track:0IPLNYj7MRXBdX8kTOX9zS,https://api.spotify.com/v1/tracks/0IPLNYj7MRXBdX8kTOX9zS,https://api.spotify.com/v1/audio-analysis/0IPLNYj7MRXBdX8kTOX9zS,231107,3
0.536,0.246,2,-15.451,1,0.0362,0.68,0.328,0.108,0.196,98.985,audio_features,5074hKoBVd4vMZ50r6M5hm,spotify:track:5074hKoBVd4vMZ50r6M5hm,https://api.spotify.com/v1/tracks/5074hKoBVd4vMZ50r6M5hm,https://api.spotify.com/v1/audio-analysis/5074hKoBVd4vMZ50r6M5hm,209507,3
0.737,0.605,5,-11.548,1,0.0503,0.0212,3.24e-05,0.0599,0.884,90.956,audio_features,684kO6Zi11c5zUxKEi1Wy7,spotify:track:684kO6Zi11c5zUxKEi1Wy7,https://api.spotify.com/v1/tracks/684kO6Zi11c5zUxKEi1Wy7,https://api.spotify.com/v1/audio-analysis/684kO6Zi11c5zUxKEi1Wy7,217213,4
0.203,0.963,7,-5.274,1,0.0653,1.07e-05,0.0014,0.294,0.433,84.408,audio_features,42RXVfQ5WREbuHfloZHrCw,spotify:track:42RXVfQ5WREbuHfloZHrCw,https://api.spotify.com/v1/tracks/42RXVfQ5WREbuHfloZHrCw,https://api.spotify.com/v1/audio-analysis/42RXVfQ5WREbuHfloZHrCw,122187,4
0.454,0.508,7,-15.582,1,0.0328,0.0258,0.099,0.313,0.49,148.871,audio_features,6a4x1rdtZNg1vZ3Uq53D48,spotify:track:6a4x1rdtZNg1vZ3Uq53D48,https://api.spotify.com/v1/tracks/6a4x1rdtZNg1vZ3Uq53D48,https://api.spotify.com/v1/audio-analysis/6a4x1rdtZNg1vZ3Uq53D48,229573,4
0.796,0.835,0,-3.927,1,0.0849,0.34,0.0109,0.0559,0.814,106.043,audio_features,2BE6ImE8HzXMcAJnkGubPH,spotify:track:2BE6ImE8HzXMcAJnkGubPH,https://api.spotify.com/v1/tracks/2BE6ImE8HzXMcAJnkGubPH,https://api.spotify.com/v1/audio-analysis/2BE6ImE8HzXMcAJnkGubPH,337173,4
0.576,0.716,10,-5.978,0,0.0306,0.182,0.336,0.0847,0.153,92.949,audio_features,06KN3f2irBz9QSBupYfiZ2,spotify:track:06KN3f2irBz9QSBupYfiZ2,https://api.spotify.com/v1/tracks/06KN3f2irBz9QSBupYfiZ2,https://api.spotify.com/v1/audio-analysis/06KN3f2irBz9QSBupYfiZ2,359093,4
0.481,0.479,3,-13.366,1,0.0325,0.476,0.00105,0.271,0.552,95.274,audio_features,3txWTbSrEmn0cTlTBUxTKB,spotify:track:3txWTbSrEmn0cTlTBUxTKB,https://api.spotify.com/v1/tracks/3txWTbSrEmn0cTlTBUxTKB,https://api.spotify.com/v1/audio-analysis/3txWTbSrEmn0cTlTBUxTKB,320707,4
0.211,0.147,5,-12.819,0,0.0372,0.971,0.0771,0.361,0.0378,80.451,audio_features,5syDpseQ7wvzxnQ4K2KwRS,spotify:track:5syDpseQ7wvzxnQ4K2KwRS,https://api.spotify.com/v1/tracks/5syDpseQ7wvzxnQ4K2KwRS,https://api.spotify.com/v1/audio-analysis/5syDpseQ7wvzxnQ4K2KwRS,369053,3
0.712,0.591,0,-11.609,1,0.0394,0.12,0.00135,0.0454,0.737,94.485,audio_features,4G5MIzuLUnQWwrVynlNTPm,spotify:track:4G5MIzuLUnQWwrVynlNTPm,https://api.spotify.com/v1/tracks/4G5MIzuLUnQWwrVynlNTPm,https://api.spotify.com/v1/audio-analysis/4G5MIzuLUnQWwrVynlNTPm,356200,4
0.821,0.525,8,-6.361,0,0.0658,0.108,0.000942,0.232,0.698,130.041,audio_features,19Pc1Uu7z4wB4a0xG5sbV1,spotify:track:19Pc1Uu7z4wB4a0xG5sbV1,https://api.spotify.com/v1/tracks/19Pc1Uu7z4wB4a0xG5sbV1,https://api.spotify.com/v1/audio-analysis/19Pc1Uu7z4wB4a0xG5sbV1,263040,4
