acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,name
4.76e-06,0.416,154847.0,0.994,0lKB1oyo8l3kJxOcPK8VKL,0.743,9.0,0.0632,-5.527,1.0,0.131,154.995,4.0,0.394,0spHbv2fw49lDMkbOAdaqX,WWE,Celtic Invasion (Becky Lynch)
0.666,0.781,201226.0,0.567,3FKkbn11xHnb2XOsqsX3Sa,0.0,7.0,0.324,-6.736,0.0,0.16,117.042,4.0,0.331,5bWUlnPx9OYKsLiUJrhCA1,Jon Z,Salgo a Buscarte
0.063,0.641,437551.0,0.569,75iC5Ei2okMe5UUNpr3eMG,0.565,1.0,0.192,-13.311,0.0,0.0436,147.019,4.0,0.323,73IRHBhotETMmgvRCEyTCS,CFCF,Life is Perfecto
0.353,0.816,302602.0,0.551,1ACsCGBGkadCUnmTTxKXHC,0.0,11.0,0.145,-3.77,0.0,0.101,137.989,4.0,0.391,5bWUlnPx9OYKsLiUJrhCA1,Jon Z,Soltero
0.168,0.761,200773.0,0.84,1YFYtVeRRldeCa0c2FmPxl,0.000126,9.0,0.302,-6.699,0.0,0.186,93.036,4.0,0.607,01nUdqwuIHCHLZNP2TvYVF,Boy Wonder CF,Reggaeton Latino (feat. Don Omar
0.818,0.414,113633.0,0.271,7ixytCOH0qpOsWApfSGrLg,0.185,2.0,0.255,-11.3,1.0,0.043,96.61,3.0,0.587,139eVtrAAUltYvtDR325fk,CFB Ice Cream,IC Devotion
0.513,0.854,61753.0,0.688,2AMttrfiYzfb1iZxZ8rpVY,0.934,2.0,0.105,-9.178,1.0,0.215,129.992,4.0,0.414,3XncNqzs2osHFpObwVI3tV,CFFEE,Dream Flavour
0.931,0.741,248047.0,0.28,2EIiu0ebQRTbR0kMXQMzNa,0.00047,4.0,0.0967,-15.101,1.0,0.298,166.177,4.0,0.508,5AevSJNZMErmRFR2UrIz7N,CFP,N&N (Menffyd)
0.95,0.578,300440.0,0.32,1czmDhZvuGnGMd75dhnEui,0.707,1.0,0.15,-12.069,1.0,0.04,137.953,3.0,0.312,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Sublime Text
0.000102,0.454,245590.0,0.882,5dwlVBxcGGiwnguncL5KEr,0.000201,0.0,0.157,-5.55,1.0,0.0418,73.024,4.0,0.611,65mMkD9WW39U9Yadv0dWUF,Rolling Blackouts Coastal Fever,Falling Thunder
0.25,0.671,168281.0,0.472,6y1UAY5Lju6hgbKVApq3Jw,0.956,5.0,0.101,-18.389,0.0,0.04,90.01,4.0,0.877,139eVtrAAUltYvtDR325fk,CFB Ice Cream,In the Distane
1.77e-05,0.401,174436.0,0.887,5IiKdlxcF1yzM7KA4hkJ9H,0.000123,5.0,0.605,-6.028,0.0,0.0444,83.939,4.0,0.424,0spHbv2fw49lDMkbOAdaqX,WWE,Stars in the Night (Paige)
0.24,0.713,326912.0,0.94,32OIqOme0I1OHbYNRyQRmA,0.0,1.0,0.365,-3.821,1.0,0.0359,136.014,3.0,0.486,0spHbv2fw49lDMkbOAdaqX,WWE,Limitless (Keith Lee)
0.914,0.612,250150.0,0.89,6eap5wWPAZeaQuDxRvwy1I,0.974,6.0,0.115,-10.132,0.0,0.07,119.999,4.0,0.925,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Isolating Feelings
0.787,0.624,242526.0,0.763,5WGUKZpVV5MLuNPtuk6nlK,0.0,6.0,0.0916,-3.707,1.0,0.0447,95.072,4.0,0.521,3ukrG1BmfEiuo0KDj8YTTS,Teni,Uyo Meyo
0.829,0.59,391893.0,0.396,0jkaVZIYepDPnB140eR1Uc,0.0207,0.0,0.28,-12.62,1.0,0.0411,99.971,3.0,0.518,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,Spiritual State (feat. Uyama Hiroto)
0.65,0.265,199922.0,0.474,6kPYrnBJubso1t47lbXvNU,1.95e-06,6.0,0.102,-8.51,0.0,0.055,78.768,4.0,0.186,7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram,Uyire
0.607,0.715,278787.0,0.646,54tP7fhHUq3Y7JsWofn9TH,0.00341,7.0,0.107,-8.943,1.0,0.0741,97.985,4.0,0.496,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,Luv (sic) pt6 Uyama Hiroto Remix
0.719,0.66,234929.0,0.411,3bbzeZcfsK0ac7rdN2s7WX,0.000218,4.0,0.0956,-9.356,0.0,0.0308,107.895,4.0,0.275,66PGnr0hE7ZIcWir6IwitB,Sooraj Santhosh,Uyiril Thodum
0.393,0.699,144004.0,0.495,40kBES0x0R6OSw3guObj54,5.02e-05,5.0,0.207,-10.302,0.0,0.067,149.893,4.0,0.348,3qM3ETu1ck3rAJvEOfzo5Y,21elti,Uyghurum
0.73,0.458,332308.0,0.332,0piLGIj0C7RR4B2gowEqmO,0.0,1.0,0.101,-10.249,0.0,0.0309,130.214,4.0,0.263,4R3mugkUqCALXgkwSptTbg,Đạt G,Kho Ve Nu Cuoi (feat. Du Uyen)
0.991,0.0,63505.0,0.000354,0JIdYG12LfV2rFAhFQfSZG,0.152,3.0,0.112,-31.278,0.0,0.0,0.0,0.0,0.0,7bzvSKOdQm92wwd1B6fQL7,Sakin Bebek Derin Uyku,Uyku Için Kahverengi Gürültü
0.175,0.619,281160.0,0.803,07JBINIJSHZMkpghrXe2po,0.973,5.0,0.116,-6.997,0.0,0.101,117.11,4.0,0.814,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,Modal Soul (feat. Uyama Hiroto)
0.0759,0.697,134400.0,0.441,6WtBVDL02RRvWlvzF4sjE9,2.34e-05,0.0,0.122,-7.907,1.0,0.0652,75.045,4.0,0.387,1IFBgp2dkXquUYSNEY6hK7,Soulthrll,Cutie Uyyy
0.654,0.267,199922.0,0.471,2caLs7gisMWZnWi53l83nq,1.69e-06,6.0,0.102,-8.505,0.0,0.0526,80.611,4.0,0.188,7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram,"Uyire - From ""Gauthamante Radham"""
0.00644,0.655,275693.0,0.828,2csdd679hni5tQsW8lkEV1,0.79,10.0,0.0975,-6.692,0.0,0.0649,111.067,4.0,0.743,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,Next view (feat. Uyama Hiroto)
0.026,0.473,264960.0,0.516,656SmdVTCQ1jReSUdx6HLG,0.199,1.0,0.14,-11.962,0.0,0.0322,140.036,3.0,0.127,4q2SZIdLq6YTc9cZLCclWc,Son Feci Bisiklet,Uyku
0.00244,0.558,362227.0,0.806,6d6ieoeAHeWr2Uo7XlD4S3,0.91,11.0,0.0899,-9.817,1.0,0.0395,115.014,4.0,0.885,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,Gone Are The Days (feat. Uyama Hiroto)
0.93,0.533,285800.0,0.0711,1qJLh9ewmulg7uYiyaCD8C,0.789,0.0,0.126,-15.631,0.0,0.0343,100.755,3.0,0.0966,3bR26OG0nJ6u3k1lkd4RWO,Gary Stadler,Uyll
0.00361,0.713,60996.0,0.0969,6AKbo0Ybw2pzHT60OETpKJ,0.885,5.0,0.118,-24.892,0.0,0.0484,120.04,4.0,0.111,1nka0PYkYj6Flg03eOnFKG,Frenzy Bop,Kickflippin' Uya
