artist_id,artist_name,genre,id,name,release_date
0sHeX8oQ6o7xic3wMf4NBU,Supergrass,Rock,5xC8uOesnn0udeXAYlAnoY,Alright,1995-05-15
3WaJSfKnzc65VDgmj2zU8B,Interpol,Rock,4absiGHMelB8eH976ytjBj,Evil,2004-09-27
6eoJpTIlcuxJNjV5fDzDJH,Live,Rock,48iWbsOaBUAGzMdoSmqyg1,Lightning Crashes,1994-01-01
4fSPtBgFPZzygkY6MehwQ7,The Libertines,Rock,4KspXoCVJXGY1VrvEe1Hdm,Don't Look Back into the Sun,2003-08-18
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,Rock,7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,1977
5hfOHpGMsi8O3DA0ROLGqF,James Gang,Rock,5h6SovHOYpIMlAkafxcbq3,Funk #49,1970-01-01
1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves,Rock,75yY1Ghs6E32WC4kSikXRJ,Is Everybody Going Crazy?,2020-10-23
5gxynDEKwNDgxGJmJjZyte,Steve Winwood,Rock,4QQR0XdPrXGKKvbPNz53Uy,Higher Love - Single Version,2020-06-12
2yEwvVSSSUkcLeSTNyHKh8,TOOL,Rock,55mJleti2WfWEFNFcBduhc,Schism,2001-05-15
1fBCIkoPOPCDLUxGuWNvyo,Poison,Rock,43GS3mtezoIFiuIZCLLiDY,Every Rose Has Its Thorn - Remastered 2003,1988-03-21
5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne,Rock,6aqm56xP40foYBBtAWWrnY,Running on Empty,1978
4tpUmLEVLCGFr93o8hFFIB,Blondie,Rock,4qO03RMQm88DdpTJcxlglY,Call Me,1999-01-01
3JDIAtVrJdQ7GFOX26LYpv,Accept,Rock,2dbOYFfS7r7NAzquRvji9A,Balls to the Wall,1983
4DToQR3aKrHQSSRzSz8Nzt,The Hives,Rock,6xxXrNJnnsQNLdgNk8S4y8,Hate To Say I Told You So,2000
27a0GiCba9K9lnkKidroFU,Canned Heat,Rock,3iltRlox3jEeSKuqdW88EK,Going Up The Country,1989-01-01
6S0GHTqz5sxK5f9HtLXn9q,Garbage,Rock,3fNf71Ktya4CYMqGM6eRud,Stupid Girl,1995
2lxX1ivRYp26soIavdG9bX,The Yardbirds,Rock,6o21UfW2RHkzzleZGLfFpK,For Your Love - 2015 Remaster,1965
0vEsuISMWAKNctLlUAhSZC,Counting Crows,Rock,5DiXcVovI0FcY2s0icWWUu,Mr. Jones,1993-01-01
0epOFNiUfyON9EYx7Tpr6V,The Strokes,Rock,5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,2020-04-10
59QxeZBL6k9L4oJBGSyukd,The Marshall Tucker Band,Rock,4fUU9WKxEgJXyrZJsUA2iP,Can't You See,1973
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Rock,70LcF31zb1H0PyJoS1Sx1r,Creep,1993-02-22
7HLvzuM9p11k9lUQfSM4Rq,Warrant,Rock,18ESXa5mEm1V4Pkt5GSXWx,Cherry Pie,1990-05-01
4pJCawaKSZ40EnxN0YEYw3,Badfinger,Rock,6S3JlDAGk3uu3NtZbPnuhS,Baby Blue - Remastered 2010,1971-12-13
2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,Rock,3asj3OMn7BkuWOxsdkYybG,Sweet Dreams TN,2016-04-01
3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,Rock,1bCmvezFg5MRcENzCGG1Cy,Chelsea Dagger,2006-01-01
0Ak6DLKHtpR6TEEnmcorKA,The Vaccines,Rock,6Ca3uEAuun3HusTUiIXKs1,If You Wanna,2011-03-14
0T7JQxpy1Li93vLNirbv0Z,Mad Season,Rock,5EUsI3LIV042IV5ydksV9y,River of Deceit,1995
